@relation metaInstances

@attribute task_id numeric
@attribute DefaultAccuracy numeric
@attribute Dimensionality numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute ClassEntropy numeric
@attribute EquivalentNumberOfAtts numeric
@attribute NoiseToSignalRatio numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanMutualInformation numeric
@attribute MinAttributeEntropy numeric
@attribute MinMutualInformation numeric
@attribute MaxAttributeEntropy numeric
@attribute MaxMutualInformation numeric
@attribute Quartile1AttributeEntropy numeric
@attribute Quartile1MutualInformation numeric
@attribute Quartile2AttributeEntropy numeric
@attribute Quartile2MutualInformation numeric
@attribute Quartile3AttributeEntropy numeric
@attribute Quartile3MutualInformation numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute DecisionStumpErrRate numeric
@attribute J48ErrRate numeric
@attribute JRipErrRate numeric
@attribute kNN_3NErrRate numeric
@attribute NaiveBayesErrRate numeric
@attribute NBTreeErrRate numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute SimpleLogisticErrRate numeric
@attribute DecisionStumpAUC numeric
@attribute J48AUC numeric
@attribute JRipAUC numeric
@attribute kNN_3NAUC numeric
@attribute NaiveBayesAUC numeric
@attribute NBTreeAUC numeric
@attribute RandomTreeDepth3AUC numeric
@attribute REPTreeDepth3AUC numeric
@attribute SimpleLogisticAUC numeric
@attribute DecisionStumpKappa numeric
@attribute J48Kappa numeric
@attribute JRipKappa numeric
@attribute kNN_3NKappa numeric
@attribute NaiveBayesKappa numeric
@attribute NBTreeKappa numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute REPTreeDepth3Kappa numeric
@attribute SimpleLogisticKappa numeric

@data
3555,0.5,0.012,50,125,50,125,1,2,3,250,0,0,2,1,33.333333,0,0,66.666667,33.333333,0.215802,0.372159,-0.8938,-0.147462,-0.072758,0.254823,-1.197412,-0.207503,0.504362,0.489496,-0.590188,-0.08742,-0.072758,0.254823,-1.197412,-0.207503,0.215802,0.372159,-0.8938,-0.147462,0.504362,0.489496,-0.590188,-0.08742,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.156,0.152,0.172,0.156,0.164,0.156,0.216,0.168,0.148,0.805728,0.83888,0.836672,0.844,0.926144,0.899232,0.784,0.872128,0.927488,0.688,0.696,0.656,0.688,0.672,0.688,0.568,0.664,0.704
3556,0.752577,0.113402,75.257732,73,24.742268,24,3,2,11,97,0,0,7,4,27.272727,0,0,63.636364,36.363636,332.025458,25.509448,-0.767928,-0.019903,0.596557,0.164693,-1.786623,-0.92959,1986.463918,83.100661,0.763492,0.764777,2.756907,0.691644,-1.693982,-0.139847,19,7.972852,-1.090892,-0.026086,175.608247,64.135364,0.220763,0.2188,0.807168,3.187751,9.145336,2.568892,0.253209,0.999923,0.000025,5.706828,0.650001,0.999923,0.000025,0.999923,0.109601,5.706828,0.650001,62,2,22,34.641016,0.216495,0.206186,0.226804,0.298969,0.319588,0.206186,0.226804,0.247423,0.175258,0.710046,0.685502,0.690925,0.597603,0.832763,0.776968,0.710616,0.474886,0.864726,0.312985,0.356337,0.390982,0.162049,0.35068,0.395639,0.373459,0,0.508788
3557,0.520588,0.044118,52.058824,177,47.941176,163,2,2,15,340,228,834,12,3,13.333333,67.058824,16.352941,80,20,11.978482,7.56404,0.433788,-0.034282,0.810437,0.117524,-1.440862,-0.55546,134.679412,89.377032,2.615777,0.299643,0.818985,0.122653,0.049657,-0.108667,0.826077,0.126847,0.343344,-0.030557,0.831579,0.131159,0.819186,0.138158,0.998777,66.811712,77.865474,1.17897,0.014949,0.972645,0.00069,1.385295,0.029209,0.972645,0.00069,1.17897,0.014949,1.385295,0.029209,3,2,2.5,0.707107,0.4,0.258824,0.194118,0.411765,0.420588,0.188235,0.326471,0.211765,0.394118,0.572736,0.845863,0.847614,0.585352,0.596028,0.869485,0.735619,0.882292,0.61698,0.171296,0.482228,0.610728,0.171453,0.150594,0.620125,0.342921,0.574098,0.20889
3559,0.166667,0.055556,16.666667,12,16.666667,12,0,6,4,72,0,0,3,1,0,0,0,75,25,641.218056,506.45281,-1.132953,0.35512,338.573611,250.289483,-1.953013,0.037371,1184.440278,1005.269043,-0.188769,0.837938,338.573611,250.289483,-1.953013,0.037371,400.640278,263.799902,-1.257077,0.190051,1184.440278,1005.269043,-0.188769,0.837938,2.584963,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.708333,0.208333,0.180556,0.166667,0.138889,0.236111,0.208333,0.166667,0.152778,0.777083,0.90081,0.892361,0.907755,0.985417,0.939815,0.875,0.948611,0.970602,0.15,0.75,0.783333,0.8,0.833333,0.716667,0.75,0.8,0.816667
3560,0.194479,0.006274,19.44793,155,15.432873,123,1,6,5,797,0,0,0,5,20,0,0,0,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.580259,61.624215,47.17133,2.016975,0.041871,0.99959,0.00469,3.083003,0.061659,1.108793,0.014715,1.992654,0.050567,2.949479,0.06033,9,2,5.25,3.304038,0.816813,0.80803,0.800502,0.815558,0.785445,0.811794,0.816813,0.81054,0.785445,0.522587,0.52336,0.504862,0.517674,0.579151,0.55812,0.51446,0.539192,0.581651,0.022314,0.028597,0.007443,0.020001,0.057069,0.02467,0.018712,0.02294,0.056057
3561,0.666667,0.014881,66.666667,448,33.333333,224,1,2,10,672,666,1200,5,5,10,99.107143,17.857143,50,50,28.800744,5.649865,-0.373602,0.338154,5.310268,0.817105,-1.502232,-0.01607,90,9.965482,0.544619,0.844891,7.096354,2.065635,-1.366618,-0.008035,16.857143,4.879733,-0.132449,0.414369,56.476935,9.61916,0.498838,0.646236,0.918296,48.791652,138.716388,2.629568,0.018821,0.276195,0,4.654144,0.034468,0.441517,0.001777,2.793967,0.020408,4.653221,0.034277,28,1,15.25,14.773287,0.333333,0.33631,0.339286,0.528274,0.339286,0.337798,0.385417,0.334821,0.270833,0.608653,0.554389,0.56532,0.414381,0.655931,0.586794,0.557901,0.505306,0.7473,0,0.139594,0.163814,-0.136606,0.136364,0.15193,0.118048,0.002954,0.353081
3562,0.597701,0.045977,59.770115,52,40.229885,35,1,2,4,87,0,0,3,1,25,0,0,75,25,51.414368,32.02881,2.325565,1.204449,1.417816,1.329649,-0.984822,-0.131897,142.344828,73.356065,8.404251,2.973829,1.417816,1.329649,-0.984822,-0.131897,10.48046,21.400716,-0.442735,0.771414,142.344828,73.356065,8.404251,2.973829,0.972279,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.252874,0.241379,0.241379,0.298851,0.287356,0.252874,0.275862,0.252874,0.241379,0.650824,0.654945,0.654945,0.65522,0.78022,0.712637,0.699176,0.725275,0.832418,0.43739,0.460266,0.465633,0.372712,0.393982,0.43739,0.409836,0.43739,0.490945
3564,0.25,0.015,25,100,25,100,2,4,6,400,0,0,1,5,33.333333,0,0,16.666667,83.333333,15.0975,30.025686,11.735838,3.205713,15.0975,30.025686,11.735838,3.205713,15.0975,30.025686,11.735838,3.205713,15.0975,30.025686,11.735838,3.205713,15.0975,30.025686,11.735838,3.205713,15.0975,30.025686,11.735838,3.205713,2,?,?,1.660964,0,1,0,2.321928,0,1,0,1.660964,0,2.321928,0,5,2,3.5,1.732051,0.6175,0.6625,0.61,1,0.6475,0.635,0.755,0.6575,0.6525,0.611775,0.647667,0.683579,0.290417,0.573317,0.687321,0.492392,0.678158,0.668633,0.176667,0.116667,0.186667,-0.333333,0.136667,0.153333,-0.006667,0.123333,0.13
3569,0.639344,0.311475,63.934426,39,4.918033,3,0,4,19,61,0,0,10,9,0,0,0,52.631579,47.368421,13.240984,4.248441,-0.065855,0.617604,4.934426,2.46561,-1.194735,-0.289939,20.311475,8.115761,1.632467,1.517251,9.827869,3.574672,-0.866492,0.106194,13.07377,4.023054,-0.466722,0.461598,17.32377,4.455437,1.036371,1.177251,1.43072,2.69599,3.251841,2.256386,0.530684,1.027403,0.199936,2.961728,0.95003,1.982397,0.328096,2.251034,0.375713,2.790002,0.856397,10,4,7.5,2.13809,0.147541,0.04918,0.131148,0.04918,0.081967,0.032787,0.180328,0.196721,0.016393,0.947269,0.973197,0.888294,0.938472,0.97427,0.99397,0.855624,0.849165,0.997056,0.713166,0.908955,0.755511,0.905864,0.845648,0.939182,0.664332,0.607717,0.96913
3570,0.641148,0.043062,64.114833,134,35.885167,75,1,2,9,209,15,15,7,2,11.111111,7.177033,0.797448,77.777778,22.222222,9607.61853,4234.914878,7.138276,1.577059,16.772249,8.572594,-1.044531,-0.367871,65772.421053,29164.753824,23.369355,4.350448,32.157895,12.462896,-0.838669,-0.115444,92.264593,73.91776,1.982474,1.319132,1054.851675,218.020866,21.616852,4.105468,0.941726,38.17008,62.65203,1.570412,0.024672,1.570412,0.024672,1.570412,0.024672,1.570412,0.024672,1.570412,0.024672,1.570412,0.024672,7,7,7,0,0.167464,0.133971,0.138756,0.119617,0.095694,0.110048,0.129187,0.15311,0.119617,0.772637,0.857413,0.86796,0.8501,0.950348,0.911493,0.85204,0.833184,0.95592,0.604744,0.703636,0.690275,0.734596,0.781792,0.757284,0.715072,0.648703,0.736178
3574,0.394531,0.00293,39.453125,404,9.179688,94,0,4,3,1024,0,0,2,1,0,0,0,66.666667,33.333333,85.629175,7.64228,-0.577482,0.42507,37.128467,0.14572,-1.023347,0.125615,134.129883,15.13884,-0.131618,0.724524,37.128467,0.14572,-1.023347,0.125615,85.629175,7.64228,-0.577482,0.42507,134.129883,15.13884,-0.131618,0.724524,1.84938,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.53125,0.479492,0.505859,0.513672,0.539063,0.499023,0.524414,0.489258,0.539063,0.580179,0.695542,0.611019,0.665875,0.622246,0.658623,0.646152,0.708773,0.59437,0.188574,0.292171,0.193738,0.253909,0.164255,0.238119,0.238933,0.26615,0.159172
3575,0.586207,0.126437,58.62069,51,41.37931,36,2,2,11,87,0,0,9,2,18.181818,0,0,81.818182,18.181818,52.152568,1.092561,0.17733,-0.275293,0.603241,0.014386,-0.536578,-0.764956,247.471264,4.427291,0.881065,0.564591,0.724489,0.023504,-0.320486,-0.704411,1.131954,0.04089,0.208515,-0.393181,96.032184,2.313669,0.698664,0.006269,0.978449,3179.924128,2944.669587,0.90637,0.000308,0.90637,0.000308,0.90637,0.000308,0.90637,0.000308,0.90637,0.000308,0.90637,0.000308,2,2,2,0,0.264368,0.333333,0.356322,0.241379,0.367816,0.298851,0.367816,0.356322,0.287356,0.684368,0.616558,0.637255,0.732843,0.704248,0.682462,0.637255,0.671296,0.838235,0.465973,0.315704,0.285941,0.492077,0.216216,0.373754,0.265823,0.230967,0.40525
3576,0.5,0.133333,50,30,50,30,1,2,8,60,0,0,7,1,12.5,0,0,87.5,12.5,65.875,15.791525,0.325633,-0.661724,54.926667,13.43181,-0.381523,-0.95624,70.7,18.08764,1.491376,-0.382895,65.353333,13.739591,-0.111524,-0.939498,66.39,16.249492,0.05087,-0.674682,69.215,16.796897,0.834298,-0.443004,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.35,0.433333,0.333333,0.483333,0.283333,0.333333,0.4,0.366667,0.266667,0.67,0.524444,0.664444,0.516667,0.795556,0.665,0.6,0.605556,0.775556,0.3,0.133333,0.333333,0.033333,0.433333,0.333333,0.2,0.266667,0.466667
3577,0.2,0.023077,20,26,20,26,0,5,3,130,0,0,1,2,0,0,0,33.333333,66.666667,18212792.307692,45105899.030611,35.908123,5.414405,18212792.307692,45105899.030611,35.908123,5.414405,18212792.307692,45105899.030611,35.908123,5.414405,18212792.307692,45105899.030611,35.908123,5.414405,18212792.307692,45105899.030611,35.908123,5.414405,18212792.307692,45105899.030611,35.908123,5.414405,2.321928,?,?,4.70044,0,4.70044,0,4.70044,0,4.70044,0,4.70044,0,4.70044,0,26,26,26,0,0.630769,0.538462,0.561538,1,0.676923,0.7,0.923077,0.807692,0.653846,0.600074,0.66875,0.703439,0.375,0.595044,0.536095,0.386391,0.480769,0.5375,0.211538,0.326923,0.298077,-0.25,0.153846,0.125,-0.153846,-0.009615,0.182692
3578,0.132258,0.029032,13.225806,41,5.806452,18,0,9,9,310,0,0,8,1,0,0,0,88.888889,11.111111,144.801412,40.984188,-0.790815,0.114936,0.231207,0.089691,-1.418098,-0.329219,496.103226,124.330267,0.567947,0.787599,2.434804,0.131896,-1.258907,-0.14731,16.380863,7.795998,-1.175258,-0.014489,349.118548,107.293996,-0.144355,0.467166,3.120903,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.73871,0.03871,0.070968,0,0.122581,0.06129,0.051613,0.009677,0.006452,0.774809,0.977987,0.978506,1,0.992682,0.989779,0.970864,0.994465,0.99993,0.150451,0.956116,0.919493,1,0.860924,0.930537,0.941512,0.989032,0.992687
3580,0.608,0.04,60.8,76,39.2,49,1,2,5,125,0,0,2,3,20,0,0,40,60,29.13048,8.820673,-0.457786,-0.319641,0.82096,0.077454,-0.462256,-0.627848,57.44,17.563893,-0.453316,-0.011433,0.82096,0.077454,-0.462256,-0.627848,29.13048,8.820673,-0.457786,-0.319641,57.44,17.563893,-0.453316,-0.011433,0.966078,356.870926,561.202879,1.521928,0.002707,1.521928,0.000781,1.521928,0.004633,1.521928,0.000781,1.521928,0.002707,1.521928,0.004633,3,3,3,0,0.4,0.496,0.44,0.536,0.472,0.424,0.472,0.472,0.424,0.461332,0.391917,0.429108,0.45341,0.407895,0.394603,0.493421,0.397019,0.502551,0.010136,-0.148829,-0.075059,-0.120401,-0.063446,-0.044788,-0.001086,-0.124752,0.01399
3581,0.557,0.026,55.7,557,44.3,443,1,2,26,1000,0,0,25,1,3.846154,0,0,96.153846,3.846154,-0,1,-0.992658,0.064395,-0,1,-1.284822,-0.099448,0,1,1.935722,1.373702,-0,1,-1.207488,-0.055733,0,1,-1.173411,-0.021672,0,1,-1.155211,0.022205,0.990605,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.297,0.138,0.122,0.433,0.336,0.126,0.196,0.139,0.34,0.694753,0.873149,0.890989,0.559335,0.716212,0.942703,0.802112,0.892904,0.720439,0.401634,0.719718,0.751755,0.119138,0.317575,0.744091,0.603388,0.717491,0.306883
3582,0.62,0.51,62,62,38,38,1,2,51,100,0,0,50,1,1.960784,0,0,98.039216,1.960784,0,1,-1.09755,0.015211,-0,1,-1.393514,-0.350018,0,1,0.958566,1.281537,-0,1,-1.248958,-0.129063,0,1,-1.148667,-0.016512,0,1,-1.089183,0.123643,0.958042,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.23,0.26,0.3,0.42,0.4,0.35,0.35,0.26,0.34,0.699491,0.706919,0.646222,0.56961,0.542869,0.699278,0.610781,0.738115,0.667657,0.50431,0.442539,0.350087,0.135091,0.115044,0.237805,0.229754,0.442539,0.231465
3583,0.562992,0.021654,56.299213,286,43.700787,222,1,2,11,508,0,0,10,1,9.090909,0,0,90.909091,9.090909,48.001835,7.477724,1.685518,0.813358,2.844429,1.05062,-0.454022,-0.56732,169.048169,14.182873,12.556593,2.737983,8.228159,3.53811,-0.11119,0.442145,30.852697,6.729475,0.526854,0.796106,77.87003,12.266445,1.283992,1.070871,0.98852,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.139764,0.127953,0.116142,0.143701,0.165354,0.139764,0.161417,0.122047,0.116142,0.865369,0.882623,0.901972,0.853336,0.919423,0.906185,0.833459,0.908571,0.951758,0.714959,0.74166,0.764564,0.707521,0.661913,0.714959,0.670297,0.751718,0.762895
3585,0.686131,0.058394,68.613139,94,31.386861,43,4,2,8,137,0,0,3,5,50,0,0,37.5,62.5,41.883212,13.73112,7.302069,1.038765,8.773723,10.541628,-0.81367,-0.633879,58.569343,20.039592,23.195558,4.090516,8.773723,10.541628,-0.81367,-0.633879,58.306569,10.612141,-0.47568,-0.340343,58.569343,20.039592,23.195558,4.090516,0.897589,29.402511,33.211023,1.044381,0.030528,0.349643,0.000088,1.956667,0.106696,0.480046,0.000512,0.935608,0.007663,1.717491,0.083408,4,2,2.5,1,0.313869,0.284672,0.313869,0.357664,0.29927,0.284672,0.313869,0.284672,0.306569,0.582261,0.657966,0.599951,0.61331,0.713756,0.666077,0.647699,0.575334,0.661925,0.01702,0.317537,0.206172,0.204715,0.326418,0.317537,0.275845,0.165287,0.197042
3586,0.501796,0.002155,50.179555,2096,49.820445,2081,1,2,9,4177,0,0,7,2,11.111111,0,0,77.777778,22.222222,0.382703,0.174618,11.015158,0.620072,0.139516,0.041827,-0.047564,-0.639567,0.828742,0.490389,75.914202,3.127319,0.180594,0.09924,-0.025764,-0.608906,0.359367,0.120093,0.081737,0.591569,0.523992,0.221963,0.592115,0.718754,0.999991,6.926887,9.955043,1.58151,0.144364,1.58151,0.144364,1.58151,0.144364,1.58151,0.144364,1.58151,0.144364,1.58151,0.144364,3,3,3,0,0.252334,0.221451,0.214987,0.282499,0.26622,0.263107,0.27412,0.225521,0.216663,0.770763,0.804463,0.81817,0.716891,0.821905,0.821125,0.725898,0.839023,0.871637,0.495429,0.557177,0.570098,0.434961,0.46763,0.474023,0.451723,0.549057,0.566659
3587,0.515,0.055,51.5,103,48.5,97,1,2,11,200,0,0,10,1,9.090909,0,0,90.909091,9.090909,-0.011,0.839202,-1.551409,0.020361,-0.115,0.777817,-1.985402,-0.194157,0.105,1.00005,-1.34195,0.219404,-0.075,0.81177,-1.575026,-0.106265,-0.02,0.826804,-1.531725,0.036736,0.05875,0.842479,-1.464905,0.13838,0.999351,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.17,0.125,0.125,0.155,0.28,0.16,0.2,0.145,0.14,0.792163,0.878441,0.896557,0.886498,0.796016,0.881944,0.79952,0.892703,0.927785,0.659284,0.74985,0.7497,0.689067,0.438146,0.679712,0.599399,0.708601,0.719748
3588,0.663933,0.003267,66.393333,9959,33.606667,5041,1,2,49,15000,0,0,48,1,2.040816,0,0,97.959184,2.040816,19.432526,6.520232,18.889477,2.588846,0,0,-0.072638,0,110,35.252824,147.202451,11.616923,0,0,0,0,0.9317,3.133465,2.170287,1.56354,12.012283,11.511865,19.682878,4.260677,0.921005,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.336067,0.0228,0.030133,0.032733,0.343067,0.033667,0.043133,0.0256,0.110467,0.691901,0.983772,0.972408,0.96523,0.884459,0.99079,0.951647,0.991233,0.936227,0,0.948878,0.932296,0.92691,0.36229,0.924479,0.903338,0.942678,0.750833
3589,0.547,0.026,54.7,547,45.3,453,1,2,26,1000,0,0,25,1,3.846154,0,0,96.153846,3.846154,0,1,-0.974022,0.101256,-0,1,-1.266234,-0.093328,0,1,1.491194,1.353581,-0,1,-1.200283,-0.039289,-0,1,-1.180619,0.015403,0,1,-1.124841,0.028654,0.993617,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.318,0.141,0.127,0.404,0.364,0.123,0.234,0.155,0.362,0.668142,0.863425,0.870544,0.590881,0.676651,0.926392,0.763724,0.882841,0.685957,0.356377,0.715432,0.741727,0.182315,0.270766,0.752136,0.527649,0.686344,0.262269
3590,0.555556,0.008547,55.555556,260,44.444444,208,1,2,4,468,0,0,2,2,25,0,0,50,50,16.75,9.385026,-1.211417,0,7,3.745661,-1.218101,0,26.5,15.024391,-1.204732,0,7,3.745661,-1.218101,0,16.75,9.385026,-1.211417,0,26.5,15.024391,-1.204732,0,0.991076,3.040105,8.723678,3.169925,0.326001,3.169925,0.326001,3.169925,0.326001,3.169925,0.326001,3.169925,0.326001,3.169925,0.326001,9,9,9,0,0.34188,0.173077,0.155983,0.155983,0.196581,0.160256,0.153846,0.173077,0.277778,0.59412,0.885632,0.870571,0.852047,0.873521,0.906176,0.844712,0.874954,0.817594,0.251559,0.652029,0.682762,0.68459,0.603068,0.67903,0.688761,0.653682,0.439655
3591,0.596313,0.001099,59.631348,4885,40.368652,3307,1,2,9,8192,0,0,8,1,11.111111,0,0,88.888889,11.111111,1.654425,1.08274,0.695349,0.469294,-0.008189,0.201263,-1.378872,-0.375617,6.508057,3.102711,6.863409,2.117803,-0.003643,0.286596,-1.229668,-0.012707,0.301683,0.291287,-1.192914,0.008832,3.074162,2.586798,4.020102,1.499398,0.973066,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.206787,0.077393,0.072998,0.25293,0.095703,0.07373,0.088623,0.074951,0.059692,0.756298,0.95246,0.941217,0.725207,0.973961,0.976491,0.907425,0.967597,0.988907,0.545353,0.838715,0.848007,0.459983,0.799019,0.846196,0.815726,0.843649,0.875669
3592,0.6,0.06,60,60,40,40,1,2,6,100,0,0,5,1,16.666667,0,0,83.333333,16.666667,-0,1,-0.669515,0.244282,-0,1,-1.106858,0.038622,0,1,0.803745,0.999926,-0,1,-1.093661,0.039727,-0,1,-1.042493,0.048579,0,1,-0.058879,0.546689,0.970951,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.26,0.21,0.27,0.22,0.18,0.26,0.27,0.3,0.23,0.69125,0.733333,0.74625,0.766667,0.723333,0.705833,0.720833,0.696875,0.721667,0.453782,0.545455,0.439834,0.537815,0.615385,0.453782,0.439834,0.390244,0.497817
3593,0.500883,0.00027,50.088305,20420,49.911695,20348,1,2,11,40768,0,0,10,1,9.090909,0,0,90.909091,9.090909,0.002006,0.834942,-1.550301,-0.003821,-0.005617,0.814537,-1.999762,-0.016189,0.008095,0.99998,-1.492704,0.010294,-0.000202,0.815597,-1.504742,-0.00993,0.002048,0.816823,-1.501153,-0.003761,0.005409,0.817795,-1.496639,0.000372,0.999998,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.197483,0.068264,0.070521,0.084601,0.343652,0.069957,0.091224,0.069344,0.16096,0.800708,0.978365,0.942474,0.956452,0.719609,0.980212,0.922108,0.981833,0.917489,0.605028,0.86347,0.858942,0.830805,0.31269,0.860085,0.817559,0.861313,0.678084
3594,0.760365,0.001974,76.036525,3081,23.963475,971,1,2,8,4052,0,0,7,1,12.5,0,0,87.5,12.5,281.948773,1.757793,17.01412,2.74663,0.022952,0.149768,-1.994002,-0.170551,1972.34847,9.851025,77.555664,7.964906,0.078233,0.268571,-1.528688,-0.079025,0.225568,0.472954,-0.276144,1.313051,0.519743,0.644557,38.583118,6.370507,0.794432,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.00691,0.008144,0.007897,0.012586,0.027394,0.00691,0.007404,0.007651,0.00691,0.984781,0.989299,0.987651,0.996817,0.985751,0.988473,0.990368,0.989337,0.993299,0.980862,0.977549,0.978206,0.965425,0.925952,0.980862,0.979669,0.97888,0.980862
3595,0.613636,0.090909,61.363636,27,38.636364,17,1,2,4,44,0,0,3,1,25,0,0,75,25,35.015777,10.866984,-1.049583,0.282102,9.362097,4.34995,-1.517018,-0.037061,75,15.994185,-0.371275,0.883367,9.362097,4.34995,-1.517018,-0.037061,20.685233,12.256818,-1.260455,0,75,15.994185,-0.371275,0.883367,0.962413,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.25,0.113636,0.181818,0.090909,0.159091,0.159091,0.159091,0.113636,0.113636,0.779956,0.861656,0.880174,0.894336,0.962963,0.821351,0.805011,0.937908,0.96732,0.519841,0.752252,0.624733,0.804009,0.645161,0.660793,0.645161,0.767932,0.762931
3596,0.524,0.024,52.4,131,47.6,119,1,2,6,250,0,0,5,1,16.666667,0,0,83.333333,16.666667,0,1,-1.063603,-0.079871,-0,1,-1.252452,-0.204143,0,1,-0.660491,0.065796,-0,1,-1.224871,-0.171223,0,1,-1.186027,-0.075577,0,1,-0.841122,0.009335,0.998337,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.248,0.16,0.136,0.144,0.312,0.156,0.172,0.144,0.28,0.73523,0.839438,0.878889,0.854898,0.75348,0.906408,0.828565,0.901501,0.680223,0.500934,0.678022,0.727791,0.71089,0.371657,0.68788,0.655868,0.711779,0.435229
3597,0.510417,0.052083,51.041667,49,48.958333,47,1,2,5,96,0,0,4,1,20,0,0,80,20,60.930062,4.741661,0.164473,-0.133856,0.161289,0.059793,-1.275422,-1.160341,189.875,8.62111,2.902612,0.418923,6.60706,0.876176,-1.091784,-0.896108,26.841979,5.14287,-0.484649,0.102996,149.341146,8.205936,2.069851,0.391543,0.999687,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.270833,0.322917,0.302083,0.385417,0.28125,0.291667,0.385417,0.28125,0.239583,0.67716,0.697785,0.691924,0.618541,0.767694,0.721667,0.61637,0.722536,0.768563,0.459974,0.354727,0.395308,0.230503,0.436522,0.41793,0.231834,0.437988,0.520833
3598,0.532,0.204,53.2,133,46.8,117,1,2,51,250,0,0,50,1,1.960784,0,0,98.039216,1.960784,0,1,-1.187515,0.003338,-0,1,-1.33058,-0.282015,0,1,-1.007482,0.173052,-0,1,-1.250248,-0.05554,0,1,-1.191889,0.013111,0,1,-1.126305,0.07366,0.997043,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.34,0.272,0.288,0.432,0.272,0.328,0.356,0.26,0.216,0.672322,0.713482,0.708823,0.566223,0.844933,0.700244,0.643307,0.773665,0.864919,0.315444,0.456556,0.421036,0.132447,0.4532,0.339945,0.286173,0.481328,0.565777
